20mm Poly Pipe,,40mm Poly Pipe,,63mm Poly Pipe,,90mm Poly Pipe,,110mm Poly Pipe,
kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h,kPa/m,m³/h
0.1138,5.894,0.1138,43.351,0.1138,143.187,,,,
0.1139,5.896,0.1139,43.387,0.1139,143.254,,,,
0.114,5.899,0.114,43.424,0.114,143.321,,,,
0.1141,5.901,0.1141,43.461,0.1141,143.388,,,,
0.1142,5.904,0.1142,43.498,0.1142,143.454,,,,
0.1143,5.906,0.1143,43.534,0.1143,143.521,,,,
0.1144,5.909,0.1144,43.571,0.1144,143.588,,,,
0.1145,5.911,0.1145,43.608,0.1145,143.654,,,,
0.1146,5.914,0.1146,43.645,0.1146,143.721,,,,
0.1147,5.916,0.1147,43.681,0.1147,143.788,,,,
0.1148,5.919,0.1148,43.718,0.1148,143.855,,,,
0.1149,5.921,0.1149,43.755,0.1149,143.921,,,,
0.115,5.924,0.115,43.791,0.115,143.988,,,,
0.1151,5.926,0.1151,43.828,0.1151,144.055,,,,
0.1152,5.929,0.1152,43.865,0.1152,144.122,,,,
0.1153,5.931,0.1153,43.902,0.1153,144.188,,,,
0.1154,5.934,0.1154,43.938,0.1154,144.255,,,,
0.1155,5.936,0.1155,43.975,0.1155,144.322,,,,
0.1156,5.939,0.1156,44.012,0.1156,144.389,,,,
0.1157,5.941,0.1157,44.049,0.1157,144.455,,,,
0.1158,5.944,0.1158,44.085,0.1158,144.522,,,,
0.1159,5.946,0.1159,44.122,0.1159,144.589,,,,
0.116,5.949,0.116,44.159,0.116,144.656,,,,
0.1161,5.951,0.1161,44.196,0.1161,144.722,,,,
0.1162,5.954,0.1162,44.232,0.1162,144.789,,,,
0.1163,5.956,0.1163,44.269,0.1163,144.856,,,,
0.1164,5.959,0.1164,44.306,0.1164,144.923,,,,
0.1165,5.961,0.1165,44.343,0.1165,144.989,,,,
0.1166,5.964,0.1166,44.379,0.1166,145.056,,,,
0.1167,5.966,0.1167,44.416,0.1167,145.123,,,,
0.1168,5.969,0.1168,44.453,0.1168,145.189,,,,
0.1169,5.971,0.1169,44.49,0.1169,145.256,,,,
0.117,5.973,0.117,44.526,0.117,145.323,,,,
0.1171,5.976,0.1171,44.563,0.1171,145.39,,,,
0.1172,5.978,0.1172,44.6,0.1172,145.456,,,,
0.1173,5.981,0.1173,44.637,0.1173,145.523,,,,
0.1174,5.983,0.1174,44.673,0.1174,145.59,,,,
0.1175,5.986,0.1175,44.71,0.1175,145.657,,,,
0.1176,5.988,0.1176,44.747,0.1176,145.723,,,,
0.1177,5.991,0.1177,44.784,0.1177,145.79,,,,
0.1178,5.993,0.1178,44.82,0.1178,145.857,,,,
0.1179,5.996,0.1179,44.857,0.1179,145.924,,,,
0.118,5.998,0.118,44.894,0.118,145.99,,,,
0.1181,6.001,0.1181,44.931,0.1181,146.057,,,,
0.1182,6.003,0.1182,44.967,0.1182,146.124,,,,
0.1183,6.006,0.1183,45.004,0.1183,146.191,,,,
0.1184,6.008,0.1184,45.041,0.1184,146.257,,,,
0.1185,6.011,0.1185,45.078,0.1185,146.324,,,,
0.1186,6.013,0.1186,45.114,0.1186,146.391,,,,
0.1187,6.016,0.1187,45.151,0.1187,146.457,,,,
0.1188,6.018,0.1188,45.188,0.1188,146.524,,,,
0.1189,6.021,0.1189,45.225,0.1189,146.591,,,,
0.119,6.023,0.119,45.261,0.119,146.658,,,,
0.1191,6.026,0.1191,45.298,0.1191,146.724,,,,
0.1192,6.028,0.1192,45.335,0.1192,146.791,,,,
0.1193,6.031,0.1193,45.372,0.1193,146.858,,,,
0.1194,6.033,0.1194,45.408,0.1194,146.925,,,,
0.1195,6.036,0.1195,45.445,0.1195,146.991,,,,
0.1196,6.038,0.1196,45.482,0.1196,147.058,,,,
0.1197,6.041,0.1197,45.519,0.1197,147.125,,,,
0.1198,6.043,0.1198,45.555,0.1198,147.192,,,,
0.1199,6.046,0.1199,45.592,0.1199,147.258,,,,
0.12,6.048,0.12,45.629,0.12,147.325,,,,
0.1201,6.051,0.1201,45.666,0.1201,147.392,,,,
0.1202,6.053,0.1202,45.702,0.1202,147.459,,,,
0.1203,6.056,0.1203,45.739,0.1203,147.525,,,,
0.1204,6.058,0.1204,45.776,0.1204,147.592,,,,
0.1205,6.061,0.1205,45.813,0.1205,147.659,,,,
0.1206,6.063,0.1206,45.849,0.1206,147.726,,,,
0.1207,6.066,0.1207,45.886,0.1207,147.792,,,,
0.1208,6.068,0.1208,45.923,0.1208,147.859,,,,
0.1209,6.071,0.1209,45.96,0.1209,147.926,,,,
0.121,6.073,0.121,45.996,0.121,147.992,,,,
0.1211,6.075,0.1211,46.033,0.1211,148.059,,,,
0.1212,6.078,0.1212,46.07,0.1212,148.126,,,,
0.1213,6.08,0.1213,46.107,0.1213,148.193,,,,
0.1214,6.083,0.1214,46.143,0.1214,148.259,,,,
0.1215,6.085,0.1215,46.18,0.1215,148.326,,,,
0.1216,6.088,0.1216,46.217,0.1216,148.393,,,,
0.1217,6.09,0.1217,46.254,0.1217,148.46,,,,
0.1218,6.093,0.1218,46.29,0.1218,148.526,,,,
0.1219,6.095,0.1219,46.327,0.1219,148.593,,,,
0.122,6.098,0.122,46.364,0.122,148.66,,,,
0.1221,6.1,0.1221,46.401,0.1221,148.727,,,,
0.1222,6.103,0.1222,46.437,0.1222,148.793,,,,
0.1223,6.105,0.1223,46.474,0.1223,148.86,,,,
0.1224,6.108,0.1224,46.511,0.1224,148.927,,,,
0.1225,6.11,0.1225,46.548,0.1225,148.994,,,,
0.1226,6.113,0.1226,46.584,0.1226,149.06,,,,
0.1227,6.115,0.1227,46.621,0.1227,149.127,,,,
0.1228,6.118,0.1228,46.658,0.1228,149.194,,,,
0.1229,6.12,0.1229,46.695,0.1229,149.261,,,,
0.123,6.123,0.123,46.731,0.123,149.327,,,,
0.1231,6.125,0.1231,46.768,0.1231,149.394,,,,
0.1232,6.128,0.1232,46.805,0.1232,149.461,,,,
0.1233,6.13,0.1233,46.842,0.1233,149.527,,,,
0.1234,6.133,0.1234,46.878,0.1234,149.594,,,,
0.1235,6.135,0.1235,46.915,0.1235,149.661,,,,
0.1236,6.138,0.1236,46.952,0.1236,149.728,,,,
0.1237,6.14,0.1237,46.989,0.1237,149.794,,,,
0.1238,6.143,0.1238,47.025,0.1238,149.861,,,,
0.1239,6.145,0.1239,47.062,0.1239,149.928,,,,
0.124,6.148,0.124,47.099,0.124,149.995,,,,
0.1241,6.15,0.1241,47.136,0.1241,150.061,,,,
0.1242,6.153,0.1242,47.172,0.1242,150.128,,,,
0.1243,6.155,0.1243,47.209,0.1243,150.195,,,,
0.1244,6.158,0.1244,47.246,0.1244,150.262,,,,
0.1245,6.16,0.1245,47.283,0.1245,150.328,,,,
0.1246,6.163,0.1246,47.319,0.1246,150.395,,,,
0.1247,6.165,0.1247,47.356,0.1247,150.462,,,,
0.1248,6.168,0.1248,47.393,0.1248,150.529,,,,
0.1249,6.17,0.1249,47.43,0.1249,150.595,,,,
0.125,6.173,0.125,47.466,0.125,150.662,,,,
0.1251,6.175,0.1251,47.503,0.1251,150.729,,,,
0.1252,6.178,0.1252,47.54,0.1252,150.795,,,,
0.1253,6.18,0.1253,47.577,0.1253,150.862,,,,
0.1254,6.182,0.1254,47.613,0.1254,150.929,,,,
0.1255,6.185,0.1255,47.65,0.1255,150.996,,,,
0.1256,6.187,0.1256,47.687,0.1256,151.062,,,,
0.1257,6.19,0.1257,47.724,0.1257,151.129,,,,
0.1258,6.192,0.1258,47.76,0.1258,151.196,,,,
0.1259,6.195,0.1259,47.797,0.1259,151.263,,,,
0.126,6.197,0.126,47.834,0.126,151.329,,,,
0.1261,6.2,0.1261,47.871,0.1261,151.396,,,,
0.1262,6.202,0.1262,47.907,0.1262,151.463,,,,
0.1263,6.205,0.1263,47.944,0.1263,151.53,,,,
0.1264,6.207,0.1264,47.981,0.1264,151.596,,,,
0.1265,6.21,0.1265,48.018,0.1265,151.663,,,,
0.1266,6.212,0.1266,48.054,0.1266,151.73,,,,
0.1267,6.215,0.1267,48.091,0.1267,151.797,,,,
0.1268,6.217,0.1268,48.128,0.1268,151.863,,,,
0.1269,6.22,0.1269,48.165,0.1269,151.93,,,,
0.127,6.222,0.127,48.201,0.127,151.997,,,,
0.1271,6.225,0.1271,48.238,0.1271,152.064,,,,
0.1272,6.227,0.1272,48.275,0.1272,152.13,,,,
0.1273,6.23,0.1273,48.312,0.1273,152.197,,,,
0.1274,6.232,0.1274,48.348,0.1274,152.264,,,,
0.1275,6.235,0.1275,48.385,0.1275,152.33,,,,
0.1276,6.237,0.1276,48.422,0.1276,152.397,,,,
0.1277,6.24,0.1277,48.459,0.1277,152.464,,,,
0.1278,6.242,0.1278,48.495,0.1278,152.531,,,,
0.1279,6.245,0.1279,48.532,0.1279,152.597,,,,
0.128,6.247,0.128,48.569,0.128,152.664,,,,
0.1281,6.25,0.1281,48.605,0.1281,152.731,,,,
0.1282,6.252,0.1282,48.642,0.1282,152.798,,,,
0.1283,6.255,0.1283,48.679,0.1283,152.864,,,,
0.1284,6.257,0.1284,48.716,0.1284,152.931,,,,
0.1285,6.26,0.1285,48.752,0.1285,152.998,,,,
0.1286,6.262,0.1286,48.789,0.1286,153.065,,,,
0.1287,6.265,0.1287,48.826,0.1287,153.131,,,,
0.1288,6.267,0.1288,48.863,0.1288,153.198,,,,
0.1289,6.27,0.1289,48.899,0.1289,153.265,,,,
0.129,6.272,0.129,48.936,0.129,153.332,,,,
0.1291,6.275,0.1291,48.973,0.1291,153.398,,,,
0.1292,6.277,0.1292,49.01,0.1292,153.465,,,,
0.1293,6.28,0.1293,49.046,0.1293,153.532,,,,
0.1294,6.282,0.1294,49.083,0.1294,153.599,,,,
0.1295,6.285,0.1295,49.12,0.1295,153.665,,,,
0.1296,6.287,0.1296,49.157,0.1296,153.732,,,,
0.1297,6.289,0.1297,49.193,0.1297,153.799,,,,
0.1298,6.292,0.1298,49.23,0.1298,153.865,,,,
0.1299,6.294,0.1299,49.267,0.1299,153.932,,,,
0.13,6.297,0.13,49.304,0.13,153.999,,,,
0.1301,6.299,0.1301,49.34,0.1301,154.066,,,,
0.1302,6.302,0.1302,49.377,0.1302,154.132,,,,
0.1303,6.304,0.1303,49.414,0.1303,154.199,,,,
0.1304,6.307,0.1304,49.451,0.1304,154.266,,,,
0.1305,6.309,0.1305,49.487,0.1305,154.333,,,,
0.1306,6.312,0.1306,49.524,0.1306,154.399,,,,
0.1307,6.314,0.1307,49.561,0.1307,154.466,,,,
0.1308,6.317,0.1308,49.598,0.1308,154.533,,,,
0.1309,6.319,0.1309,49.634,0.1309,154.6,,,,
0.131,6.322,0.131,49.671,0.131,154.666,,,,
0.1311,6.324,0.1311,49.708,0.1311,154.733,,,,
0.1312,6.327,0.1312,49.745,0.1312,154.8,,,,
0.1313,6.329,0.1313,49.781,0.1313,154.867,,,,
0.1314,6.332,0.1314,49.818,0.1314,154.933,,,,
0.1315,6.334,0.1315,49.855,0.1315,155,,,,
0.1316,6.337,0.1316,49.892,0.1316,155.067,,,,
0.1317,6.339,0.1317,49.928,0.1317,155.133,,,,
0.1318,6.342,0.1318,49.965,0.1318,155.2,,,,
0.1319,6.344,0.1319,50.002,0.1319,155.267,,,,
0.132,6.347,0.132,50.039,0.132,155.334,,,,
0.1321,6.349,0.1321,50.075,0.1321,155.4,,,,
0.1322,6.352,0.1322,50.112,0.1322,155.467,,,,
0.1323,6.354,0.1323,50.149,0.1323,155.534,,,,
0.1324,6.357,0.1324,50.186,0.1324,155.601,,,,
0.1325,6.359,0.1325,50.222,0.1325,155.667,,,,
0.1326,6.362,0.1326,50.259,0.1326,155.734,,,,
0.1327,6.364,0.1327,50.296,0.1327,155.801,,,,
0.1328,6.367,0.1328,50.333,0.1328,155.868,,,,
0.1329,6.369,0.1329,50.369,0.1329,155.934,,,,
0.133,6.372,0.133,50.406,0.133,156.001,,,,
0.1331,6.374,0.1331,50.443,0.1331,156.068,,,,
0.1332,6.377,0.1332,50.48,0.1332,156.135,,,,
0.1333,6.379,0.1333,50.516,0.1333,156.201,,,,
0.1334,6.382,0.1334,50.553,0.1334,156.268,,,,
0.1335,6.384,0.1335,50.59,0.1335,156.335,,,,
0.1336,6.387,0.1336,50.627,0.1336,156.402,,,,
0.1337,6.389,0.1337,50.663,0.1337,156.468,,,,
0.1338,6.391,0.1338,50.7,0.1338,156.535,,,,
0.1339,6.394,0.1339,50.737,0.1339,156.602,,,,
0.134,6.396,0.134,50.774,0.134,156.668,,,,
0.1341,6.399,0.1341,50.81,0.1341,156.735,,,,
0.1342,6.401,0.1342,50.847,0.1342,156.802,,,,
0.1343,6.404,0.1343,50.884,0.1343,156.869,,,,
0.1344,6.406,0.1344,50.921,0.1344,156.935,,,,
0.1345,6.409,0.1345,50.957,0.1345,157.002,,,,
0.1346,6.411,0.1346,50.994,0.1346,157.069,,,,
0.1347,6.414,0.1347,51.031,0.1347,157.136,,,,
0.1348,6.416,0.1348,51.068,0.1348,157.202,,,,
0.1349,6.419,0.1349,51.104,0.1349,157.269,,,,
0.135,6.421,0.135,51.141,0.135,157.336,,,,
0.1351,6.424,0.1351,51.178,0.1351,157.403,,,,
0.1352,6.426,0.1352,51.215,0.1352,157.469,,,,
0.1353,6.429,0.1353,51.251,0.1353,157.536,,,,
0.1354,6.431,0.1354,51.288,0.1354,157.603,,,,
0.1355,6.434,0.1355,51.325,0.1355,157.67,,,,
0.1356,6.436,0.1356,51.362,0.1356,157.736,,,,
0.1357,6.439,0.1357,51.398,0.1357,157.803,,,,
0.1358,6.441,0.1358,51.435,0.1358,157.87,,,,
0.1359,6.444,0.1359,51.472,0.1359,157.937,,,,
0.136,6.446,0.136,51.509,0.136,158.003,,,,
0.1361,6.449,0.1361,51.545,0.1361,158.07,,,,
0.1362,6.451,0.1362,51.582,0.1362,158.137,,,,
0.1363,6.454,0.1363,51.619,0.1363,158.203,,,,
0.1364,6.456,0.1364,51.656,0.1364,158.27,,,,
0.1365,6.459,0.1365,51.692,0.1365,158.337,,,,
0.1366,6.461,0.1366,51.729,0.1366,158.404,,,,
0.1367,6.464,0.1367,51.766,0.1367,158.47,,,,
0.1368,6.466,0.1368,51.803,0.1368,158.537,,,,
0.1369,6.469,0.1369,51.839,0.1369,158.604,,,,
0.137,6.471,0.137,51.876,0.137,158.671,,,,
0.1371,6.474,0.1371,51.913,0.1371,158.737,,,,
0.1372,6.476,0.1372,51.95,0.1372,158.804,,,,
0.1373,6.479,0.1373,51.986,0.1373,158.871,,,,
0.1374,6.481,0.1374,52.023,0.1374,158.938,,,,
0.1375,6.484,0.1375,52.06,0.1375,159.004,,,,
0.1376,6.486,0.1376,52.097,0.1376,159.071,,,,
0.1377,6.489,0.1377,52.133,0.1377,159.138,,,,
0.1378,6.491,0.1378,52.17,0.1378,159.205,,,,
0.1379,6.494,0.1379,52.207,0.1379,159.271,,,,
0.138,6.496,0.138,52.244,0.138,159.338,,,,
0.1381,6.498,0.1381,52.28,0.1381,159.405,,,,
0.1382,6.501,0.1382,52.317,0.1382,159.471,,,,
0.1383,6.503,0.1383,52.354,0.1383,159.538,,,,
0.1384,6.506,0.1384,52.391,0.1384,159.605,,,,
0.1385,6.508,0.1385,52.427,0.1385,159.672,,,,
0.1386,6.511,0.1386,52.464,0.1386,159.738,,,,
0.1387,6.513,0.1387,52.501,0.1387,159.805,,,,
0.1388,6.516,0.1388,52.538,0.1388,159.872,,,,
0.1389,6.518,0.1389,52.574,0.1389,159.939,,,,
0.139,6.521,0.139,52.611,0.139,160.005,,,,
0.1391,6.523,0.1391,52.648,0.1391,160.072,,,,
0.1392,6.526,0.1392,52.685,0.1392,160.139,,,,
0.1393,6.528,0.1393,52.721,0.1393,160.206,,,,
0.1394,6.531,0.1394,52.758,0.1394,160.272,,,,
0.1395,6.533,0.1395,52.795,0.1395,160.339,,,,
0.1396,6.536,0.1396,52.832,0.1396,160.406,,,,
0.1397,6.538,0.1397,52.868,0.1397,160.473,,,,
0.1398,6.541,0.1398,52.905,0.1398,160.539,,,,
0.1399,6.543,0.1399,52.942,0.1399,160.606,,,,
0.14,6.546,0.14,52.979,0.14,160.673,,,,
0.1401,6.548,0.1401,53.015,0.1401,160.74,,,,
0.1402,6.551,0.1402,53.052,0.1402,160.806,,,,
0.1403,6.553,0.1403,53.089,0.1403,160.873,,,,
0.1404,6.556,0.1404,53.126,0.1404,160.94,,,,
0.1405,6.558,0.1405,53.162,0.1405,161.006,,,,
0.1406,6.561,0.1406,53.199,0.1406,161.073,,,,
0.1407,6.563,0.1407,53.236,0.1407,161.14,,,,
0.1408,6.566,0.1408,53.273,0.1408,161.207,,,,
0.1409,6.568,0.1409,53.309,0.1409,161.273,,,,
0.141,6.571,0.141,53.346,0.141,161.34,,,,
0.1411,6.573,0.1411,53.383,0.1411,161.407,,,,
0.1412,6.576,0.1412,53.419,0.1412,161.474,,,,
0.1413,6.578,0.1413,53.456,0.1413,161.54,,,,
0.1414,6.581,0.1414,53.493,0.1414,161.607,,,,
0.1415,6.583,0.1415,53.53,0.1415,161.674,,,,
0.1416,6.586,0.1416,53.566,0.1416,161.741,,,,
0.1417,6.588,0.1417,53.603,0.1417,161.807,,,,
0.1418,6.591,0.1418,53.64,0.1418,161.874,,,,
0.1419,6.593,0.1419,53.677,0.1419,161.941,,,,
0.142,6.596,0.142,53.713,0.142,162.008,,,,
0.1421,6.598,0.1421,53.75,0.1421,162.074,,,,
0.1422,6.6,0.1422,53.787,0.1422,162.141,,,,
0.1423,6.603,0.1423,53.824,0.1423,162.208,,,,
0.1424,6.605,0.1424,53.86,0.1424,162.275,,,,
0.1425,6.608,0.1425,53.897,0.1425,162.341,,,,
0.1426,6.61,0.1426,53.934,0.1426,162.408,,,,
0.1427,6.613,0.1427,53.971,0.1427,162.475,,,,
0.1428,6.615,0.1428,54.007,0.1428,162.541,,,,
0.1429,6.618,0.1429,54.044,0.1429,162.608,,,,
0.143,6.62,0.143,54.081,0.143,162.675,,,,
0.1431,6.623,0.1431,54.118,0.1431,162.742,,,,
0.1432,6.625,0.1432,54.154,0.1432,162.808,,,,
0.1433,6.628,0.1433,54.191,0.1433,162.875,,,,
0.1434,6.63,0.1434,54.228,0.1434,162.942,,,,
0.1435,6.633,0.1435,54.265,0.1435,163.009,,,,
0.1436,6.635,0.1436,54.301,0.1436,163.075,,,,
0.1437,6.638,0.1437,54.338,0.1437,163.142,,,,
0.1438,6.64,0.1438,54.375,0.1438,163.209,,,,
0.1439,6.643,0.1439,54.412,0.1439,163.276,,,,
0.144,6.645,0.144,54.448,0.144,163.342,,,,
0.1441,6.648,0.1441,54.485,0.1441,163.409,,,,
0.1442,6.65,0.1442,54.522,0.1442,163.476,,,,
0.1443,6.653,0.1443,54.559,0.1443,163.543,,,,
0.1444,6.655,0.1444,54.595,0.1444,163.609,,,,
0.1445,6.658,0.1445,54.632,0.1445,163.676,,,,
0.1446,6.66,0.1446,54.669,0.1446,163.743,,,,
0.1447,6.663,0.1447,54.706,0.1447,163.81,,,,
0.1448,6.665,0.1448,54.742,0.1448,163.876,,,,
0.1449,6.668,0.1449,54.779,0.1449,163.943,,,,
0.145,6.67,0.145,54.816,0.145,164.01,,,,
0.1451,6.673,0.1451,54.853,0.1451,164.076,,,,
0.1452,6.675,0.1452,54.889,0.1452,164.143,,,,
0.1453,6.678,0.1453,54.926,0.1453,164.21,,,,
0.1454,6.68,0.1454,54.963,0.1454,164.277,,,,
0.1455,6.683,0.1455,55,0.1455,164.343,,,,
0.1456,6.685,0.1456,55.036,0.1456,164.41,,,,
0.1457,6.688,0.1457,55.073,0.1457,164.477,,,,
0.1458,6.69,0.1458,55.11,0.1458,164.544,,,,
0.1459,6.693,0.1459,55.147,0.1459,164.61,,,,
0.146,6.695,0.146,55.183,0.146,164.677,,,,
0.1461,6.698,0.1461,55.22,0.1461,164.744,,,,
0.1462,6.7,0.1462,55.257,0.1462,164.811,,,,
0.1463,6.703,0.1463,55.294,0.1463,164.877,,,,
0.1464,6.705,0.1464,55.33,0.1464,164.944,,,,
0.1465,6.707,0.1465,55.367,0.1465,165.011,,,,
0.1466,6.71,0.1466,55.404,0.1466,165.078,,,,
0.1467,6.712,0.1467,55.441,0.1467,165.144,,,,
0.1468,6.715,0.1468,55.477,0.1468,165.211,,,,
0.1469,6.717,0.1469,55.514,0.1469,165.278,,,,
0.147,6.72,0.147,55.551,0.147,165.344,,,,
0.1471,6.722,0.1471,55.588,0.1471,165.411,,,,
0.1472,6.725,0.1472,55.624,0.1472,165.478,,,,
0.1473,6.727,0.1473,55.661,0.1473,165.545,,,,
0.1474,6.73,0.1474,55.698,0.1474,165.611,,,,
0.1475,6.732,0.1475,55.735,0.1475,165.678,,,,
0.1476,6.735,0.1476,55.771,0.1476,165.745,,,,
0.1477,6.737,0.1477,55.808,0.1477,165.812,,,,
0.1478,6.74,0.1478,55.845,0.1478,165.878,,,,
0.1479,6.742,0.1479,55.882,0.1479,165.945,,,,
0.148,6.745,0.148,55.918,0.148,166.012,,,,
0.1481,6.747,0.1481,55.955,0.1481,166.079,,,,
0.1482,6.75,0.1482,55.992,0.1482,166.145,,,,
0.1483,6.752,0.1483,56.029,0.1483,166.212,,,,
0.1484,6.755,0.1484,56.065,0.1484,166.279,,,,
0.1485,6.757,0.1485,56.102,0.1485,166.346,,,,
0.1486,6.76,0.1486,56.139,0.1486,166.412,,,,
0.1487,6.762,0.1487,56.176,0.1487,166.479,,,,
0.1488,6.765,0.1488,56.212,0.1488,166.546,,,,
0.1489,6.767,0.1489,56.249,0.1489,166.613,,,,
0.149,6.77,0.149,56.286,0.149,166.679,,,,
0.1491,6.772,0.1491,56.323,0.1491,166.746,,,,
0.1492,6.775,0.1492,56.359,0.1492,166.813,,,,
0.1493,6.777,0.1493,56.396,0.1493,166.879,,,,
0.1494,6.78,0.1494,56.433,0.1494,166.946,,,,
0.1495,6.782,0.1495,56.47,0.1495,167.013,,,,
0.1496,6.785,0.1496,56.506,0.1496,167.08,,,,
0.1497,6.787,0.1497,56.543,0.1497,167.146,,,,
0.1498,6.79,0.1498,56.58,0.1498,167.213,,,,
0.1499,6.792,0.1499,56.617,0.1499,167.28,,,,
0.15,6.795,0.15,56.653,0.15,167.347,,,,
0.1501,6.797,0.1501,56.69,0.1501,167.413,,,,
0.1502,6.8,0.1502,56.727,0.1502,167.48,,,,
0.1503,6.802,0.1503,56.764,0.1503,167.547,,,,
0.1504,6.805,0.1504,56.8,0.1504,167.614,,,,
0.1505,6.807,0.1505,56.837,0.1505,167.68,,,,
0.1506,6.81,0.1506,56.874,0.1506,167.747,,,,
0.1507,6.812,0.1507,56.911,0.1507,167.814,,,,
0.1508,6.814,0.1508,56.947,0.1508,167.881,,,,
0.1509,6.817,0.1509,56.984,0.1509,167.947,,,,
0.151,6.819,0.151,57.021,0.151,168.014,,,,
0.1511,6.822,0.1511,57.058,0.1511,168.081,,,,
0.1512,6.824,0.1512,57.094,0.1512,168.148,,,,
0.1513,6.827,0.1513,57.131,0.1513,168.214,,,,
0.1514,6.829,0.1514,57.168,0.1514,168.281,,,,
0.1515,6.832,0.1515,57.205,0.1515,168.348,,,,
0.1516,6.834,0.1516,57.241,0.1516,168.414,,,,
0.1517,6.837,0.1517,57.278,0.1517,168.481,,,,
0.1518,6.839,0.1518,57.315,0.1518,168.548,,,,
0.1519,6.842,0.1519,57.352,0.1519,168.615,,,,
0.152,6.844,0.152,57.388,0.152,168.681,,,,
0.1521,6.847,0.1521,57.425,0.1521,168.748,,,,
0.1522,6.849,0.1522,57.462,0.1522,168.815,,,,
0.1523,6.852,0.1523,57.499,0.1523,168.882,,,,
0.1524,6.854,0.1524,57.535,0.1524,168.948,,,,
0.1525,6.857,0.1525,57.572,0.1525,169.015,,,,
0.1526,6.859,0.1526,57.609,0.1526,169.082,,,,
0.1527,6.862,0.1527,57.646,0.1527,169.149,,,,
0.1528,6.864,0.1528,57.682,0.1528,169.215,,,,
0.1529,6.867,0.1529,57.719,0.1529,169.282,,,,
0.153,6.869,0.153,57.756,0.153,169.349,,,,
0.1531,6.872,0.1531,57.793,0.1531,169.416,,,,
0.1532,6.874,0.1532,57.829,0.1532,169.482,,,,
0.1533,6.877,0.1533,57.866,0.1533,169.549,,,,
0.1534,6.879,0.1534,57.903,0.1534,169.616,,,,
0.1535,6.882,0.1535,57.94,0.1535,169.682,,,,
0.1536,6.884,0.1536,57.976,0.1536,169.749,,,,
0.1537,6.887,0.1537,58.013,0.1537,169.816,,,,
0.1538,6.889,0.1538,58.05,0.1538,169.883,,,,
0.1539,6.892,0.1539,58.087,0.1539,169.949,,,,
0.154,6.894,0.154,58.123,0.154,170.016,,,,
0.1541,6.897,0.1541,58.16,0.1541,170.083,,,,
0.1542,6.899,0.1542,58.197,0.1542,170.15,,,,
0.1543,6.902,0.1543,58.234,0.1543,170.216,,,,
0.1544,6.904,0.1544,58.27,0.1544,170.283,,,,
0.1545,6.907,0.1545,58.307,0.1545,170.35,,,,
0.1546,6.909,0.1546,58.344,0.1546,170.417,,,,
0.1547,6.912,0.1547,58.38,0.1547,170.483,,,,
0.1548,6.914,0.1548,58.417,0.1548,170.55,,,,
0.1549,6.916,0.1549,58.454,0.1549,170.617,,,,
0.155,6.919,0.155,58.491,0.155,170.684,,,,
0.1551,6.921,0.1551,58.527,0.1551,170.75,,,,
0.1552,6.924,0.1552,58.564,0.1552,170.817,,,,
0.1553,6.926,0.1553,58.601,0.1553,170.884,,,,
0.1554,6.929,0.1554,58.638,0.1554,170.951,,,,
0.1555,6.931,0.1555,58.674,0.1555,171.017,,,,
0.1556,6.934,0.1556,58.711,0.1556,171.084,,,,
0.1557,6.936,0.1557,58.748,0.1557,171.151,,,,
0.1558,6.939,0.1558,58.785,0.1558,171.217,,,,
0.1559,6.941,0.1559,58.821,0.1559,171.284,,,,
0.156,6.944,0.156,58.858,0.156,171.351,,,,
0.1561,6.946,0.1561,58.895,0.1561,171.418,,,,
0.1562,6.949,0.1562,58.932,0.1562,171.484,,,,
0.1563,6.951,0.1563,58.968,0.1563,171.551,,,,
0.1564,6.954,0.1564,59.005,0.1564,171.618,,,,
0.1565,6.956,0.1565,59.042,0.1565,171.685,,,,
0.1566,6.959,0.1566,59.079,0.1566,171.751,,,,
0.1567,6.961,0.1567,59.115,0.1567,171.818,,,,
0.1568,6.964,0.1568,59.152,0.1568,171.885,,,,
0.1569,6.966,0.1569,59.189,0.1569,171.952,,,,
0.157,6.969,0.157,59.226,0.157,172.018,,,,
0.1571,6.971,0.1571,59.262,0.1571,172.085,,,,
0.1572,6.974,0.1572,59.299,0.1572,172.152,,,,
0.1573,6.976,0.1573,59.336,0.1573,172.219,,,,
0.1574,6.979,0.1574,59.373,0.1574,172.285,,,,
0.1575,6.981,0.1575,59.409,0.1575,172.352,,,,
0.1576,6.984,0.1576,59.446,0.1576,172.419,,,,
0.1577,6.986,0.1577,59.483,0.1577,172.486,,,,
0.1578,6.989,0.1578,59.52,0.1578,172.552,,,,
0.1579,6.991,0.1579,59.556,0.1579,172.619,,,,
0.158,6.994,0.158,59.593,0.158,172.686,,,,
0.1581,6.996,0.1581,59.63,0.1581,172.752,,,,
0.1582,6.999,0.1582,59.667,0.1582,172.819,,,,
0.1583,7.001,0.1583,59.703,0.1583,172.886,,,,
0.1584,7.004,0.1584,59.74,0.1584,172.953,,,,
0.1585,7.006,0.1585,59.777,0.1585,173.019,,,,
0.1586,7.009,0.1586,59.814,0.1586,173.086,,,,
0.1587,7.011,0.1587,59.85,0.1587,173.153,,,,
0.1588,7.014,0.1588,59.887,0.1588,173.22,,,,
0.1589,7.016,0.1589,59.924,0.1589,173.286,,,,
